__v,_id,area,country,experts,location.coordinates,location.type,schema_version,totalScore,updatedAt,waitingToExpertApproveQuestions
0,6264206e7089c1bf06a8daac,Nof Hagalil,Israel,"[{""$oid"":""6264478758553a409a2e0ed1""}]","[35.3248,32.7115]",Point,1,0,2022-05-08T01:57:06.124Z,[]
0,626420dd7089c1bf06a8dac2,Haifa,Israel,,"[34.9896,32.794]",Point,1,0,,"[{""$oid"":""626daa29f3b645e8e7eb5131""}]"
0,626421557089c1bf06a8dacd,Tel Aviv,Israel,"[{""$oid"":""626421557089c1bf06a8dacd""},{""$oid"":""6264478758553a409a2e0ed1""}]","[34.7818,32.0853]",Point,1,0,2022-05-07T17:42:39.734Z,"[{""$oid"":""6272d4ae08731ef51d30adc3""},{""$oid"":""6272d4b308731ef51d30adcd""},{""$oid"":""6272d4b608731ef51d30add7""},{""$oid"":""6272d4b908731ef51d30ade1""},{""$oid"":""6272d4bb08731ef51d30adeb""},{""$oid"":""6272d4bd08731ef51d30adf5""},{""$oid"":""6272d4bf08731ef51d30adff""},{""$oid"":""6272d4c108731ef51d30ae09""},{""$oid"":""6272d4c308731ef51d30ae13""},{""$oid"":""6272d4c608731ef51d30ae1d""},{""$oid"":""6272d4c808731ef51d30ae27""},{""$oid"":""6272d4ca08731ef51d30ae31""},{""$oid"":""6272d4cc08731ef51d30ae3b""},{""$oid"":""6272d4ce08731ef51d30ae45""},{""$oid"":""6272d4cf08731ef51d30ae4f""},{""$oid"":""6272d4d108731ef51d30ae59""},{""$oid"":""6272d4d208731ef51d30ae63""},{""$oid"":""6272d4d508731ef51d30ae6d""},{""$oid"":""6272d4d708731ef51d30ae77""},{""$oid"":""6272d4da08731ef51d30ae81""},{""$oid"":""6272d4dd08731ef51d30ae8b""},{""$oid"":""6276af8f7af27259657624c5""}]"
0,6264219b7089c1bf06a8dad1,Eilat,Israel,,"[34.9519,29.5577]",Point,1,0,,
0,626421c77089c1bf06a8dad5,Jerusalem,Israel,,"[35.2137,31.7683]",Point,1,0,,
0,626422067089c1bf06a8dae0,"Be'er Sheva",Israel,"[{""$oid"":""6264478758553a409a2e0ed1""}]","[34.7915,31.253]",Point,1,0,2022-05-07T19:26:12.376Z,
